RATE,Role,Seniority,Location,Years,Company,Gender,Union
73000.00,3D animator,Mid ,Toronto ,9,,Male,No
"£45,000",3D Animator,Mid,"London, UK",7,,Female,"No, I wish"
"$54,000 CAD",3D Animator,Junior/Mid,Vancouver,1 year,WildBrain,Male,
52k/year,3D animator,Junior,Montreal,3,,Female,No
75.000 CAD,3D Animator,Mid,Vancouver,3,,Female,
$52 CAD/hour,3D Animator,Senior,Toronto,8,,Male,No
52000 pounds per annum,3d animator,Senior,London,9,,Female,
"78,000 USD",3D Animator,Senior,Remote ,6,,Female,No
32.4000€ /year ,3D Animator,Junior,"Stuttgart, Germany",0,,Male,
67000 CAD anually,3D animator,Mid,Vancouver,6,,Female,no
505 USD per month ,3D animator,Mid,Colombia,3,,Male,no
60000 cad,3d animator,Mid,Montreal,3,Reel fx,Male,No :(
71000.00,3D Animator,Junior,California,2,,Male,No
"$120,000 - $140,000 USD",3D Animator,Mid,Los Angeles,3,,Female,TAG
75000cad/year,3D animator,intermediate/mid,Vancouver,6,sony,Female,
"215,000 USD",3d animator,senior,remote,22,,Male,no
110k/year CAN,3D animator,Senior,"Montreal, Canada",15,DNEG,Female,No
BRL 1200 MONHTLY (about $ 230 USD),3d Animator,Junior,"Brazil, SP",1,,Female,No
$30/Hour USD,3D Animator,Mid,Texas,8 Years,,Female,
£40.00,3D Animator,Senior,UK(Scotland) ,8,,Male,No
CAD,3D Animator,High Mid,Montreal,9,,Male,No
"$57,000 AUD",3D Animator,Junior,"Sydney, Australia ",1,,,
"80,000 CAD",3D Animator,Intermediate,"Toronto, Canada",3,A TV company,Female,No
36 CAD/h,3D Animator,Mid,Vancouver,2,Sony Imageworks,Female,
$75 USD/ hr,3D Animator,Mid level,"Los Angeles, CA",7,Freelance,Female,No
$77k CAD,3D Animator,Mid,"Vancouver, BC",8,,Female,No
50k CAD,3D Animator,Junior,Montreal ,6 months,,Female,
25$ per hr,3D animator,Junior,"New hampshire,USA",0,,Female,No
$112k/year USD,3D animator,Mid,Los Angeles,7,WDAS,Male,"Yes, TAG"
67000 CAD,3D Animator,Senior,Vancouver,3,ICON,Female,No
CAD $54/hr,3D Animator,Senior,Vancouver,14,,Male,No
4200/yr,3D Animator,Mid,Indonesia,4,Infinite Frame Works,Female,
34380 USD annually,3D Animator,Senior,Malaysia,8,BaseFx,Male,No
93 000 cad,3d animator,Senior,Montreal,11,,Female,No
"IDR 3.500.000 or 243,53 USD",3D Animator,Junior,Indonesia,almost 2 years,Dipadira Studios,Female,
35000 Indian Rupee per month,3d Animator,Junior,India,1,,Male,No
73 000 CAD/Year,3D Animator,Intermediate ,Vancouver,3,,Male,no
300k INR p.a,3D animator,Junior,India,4,Technicolor,Male,No
"$47,000 CAD/year",3D Animator,Junior,Montreal,3,,Female,no
$63K CAD,3D Animator,Mid,Vancouver,2,,Male,
"120,000 Pkr monthly",3D Animator,Senior,Pakistan,8,MC Studios,Male,No
5000 MYR,3D Animator,Senior,Malaysia,7,,Male,No
11.000.000 IDR,3D Animator,Senior,Jakarta,5,,Female,
33k INR monthly,3d Animator,Junior,India,3+,,Male,
3.1k per month,3D animator,Mid,Malaysia,2years and half,S****,Female,
IDR 8.000.000 with tax (appox. USD 558),3D Animator,Mid,"Jakarta, Indonesia",Almost 4,,Female,
$28.00 CAD,3D Animator,Junior,Remote ,1,Agora Studio,Male,No
52k CAD,3D animator,Junior-Mid,Montréal,3,MPC Film,Female,
4.2kMYR (1kUSD) / month,3D animator,Mid,Malaysia,7,Silver Ant Polygon Pictures Inc,Male,No
80600 CAD,3D Animator,Lead,Vancouver,7,Wildbrain,Male,No
6300MYR a month,3D Animator,Supervisor,Malaysia,6,,Female,
75400 CAD,3D Animator,mid,Toronto,8,,Female,
52000 CAD,3D animator,Junior ,Vancouver ,Less than a year,Bardel Entertainment ,Male,No
$200k + bonus,3D animator,Supervisor,LA,15,,Male,
350-800/month,3D Animator,mid/senior,indonesia,5+,freelancer,Male,no
110000 CAD$,3D Animator,Senior,Vancouver,8,,Female,No. We need a union
"70,200 CAD",3D animator,Mid lvl,Vancouver,8,Atomic ,Female,No
70k CAD,3D Animator,Mid-Sr,Toronto,6,,Female,
25USD p HR,3D Animator,Junior,LA,1 year,,Female,
USD $80 / Hour,3D Animator,Senior,"Los Angeles, CA",25,,Male,No
42000 USD,3D animator,Junior,US/remote,0,,Female,No
RM33690 (apprx. US$8000) Annual,3D animator,Junior,Malaysia,1,,Male,No
"63,000 USD",3D Animator,Junior,USA (West Coast),2,,Male,No
"70,000 CAD/year",3D Animator,Senior,Vancouver,3,ICON,Female,no
USD 5000 only annually ,3d animator,Junior,India,3,Technicolor,Male,
"$80,000 USD",3D Animator,Mid-level,"Colorado, USA",5,,Male,No
"32,000 INR",3D Animator,Mid,"Mumbai, India",5,88 Pictures,Male,
"£26,000 a year",3D Animator,Junior,London. Uk,5 months,MPC,Male,No
Cad 95000/year,3D Animator,Mid/Senior,Vancouver,7,,Male,No
"$101,000 CAD",3D Animator,Mid+,Montreal,9,,Male,No
86000 CAD,3d animator,Intermediate,Vancouver,13,Sony,Male,
90k CAD,3D Animator,Lead,Vancouver,11,Sony Imageworks,Female,no
"52,000 cad/year",3D animator,Junior,Vancouver,Resent grad,,Female,
76k CAD/Year,3D Animator,Mid,"Vancouver, BC",5,Sony Imageworks,Male,No
50000 cad,3D animator,Junior,Vancouver studio but work from home in ontario,2,Mainframe studios,Female,No
45k,3D animator,Junior,Montréal,3,Blue spirit,Female,
85000 CAD,3D Animator,Mid,Montreal,5,,Female,No
87000 CAD,3D Animator,Mid,Montreal,8,,Male,
"75,000 CAD",3D Animator,Mid,Vancouver,7+,Sony,Female,No
CAD $97.500/year,3D animator,Mid/senior,Vancouver ,8,Dneg,Female,No
"CAD $45,000/yr",3D Animator,Junior/Intermediate,"Metro Vancouver, BC, Canada",3 months,Waterproof Studios,Male,
"$77,000/yr CAD",3D Animator,Mid,"Vancouver, BC",4.5 (3 as animator),,Female,No :(
1500cad/ week,3D animator,Senior, Vancouver,6+,Wildbrain ,Female,No
1500cad/ week,3D animator,Senior, Vancouver,6+,Wildbrain ,Female,No
"30,000 €",3D Animator,Junior,Germany,1,,Male,No
+/- US$ 8300/year after tax,3d animator,I dunno if i'm senior or still mid,Indonesia ,4 years,,Male,No
86000 CAD,3D Animator,Intermediate,Vancouver,12,Sony Pictures Imageworks,Female,No
"?25,000 ($333) CTC montly",3d animator,Mid,"New Delhi, INDIA",3,"Hi-tech animation, kolkata",Male,No
90k CAD,3D Animator,Mid,Vancouver,5,Sony Pictures Imageworks,Male,No
90 k,3d Animator,Mid,Vancouver,5,ReelFX,Male,No
120000k,3D Animator,Lead,Vancouver,10+,,Male,No
36 mil IDR/yr (after tax) (2500 usd?),3D Animator,Junior,Indonesia,1,,Male,No
75k CAD,3D Animator,Mid,Vancouver,3,Sony Imageworks,Male,
2030 leva,3d animator,junior,Bulgaria,1,,Male,
"58,000 €",3D Animator,Mid,The Netherlands ,9,,Female,No
19000 USD,3d animator,Junior,Ukraine,2,,Male,
278 - 418 USD /month ,3D Animator,Mid Level,Indonesia,"2,5 years","im sorry i cant tell, its start up",Male,Nope
"40,000 PKR (Pakistani Ruppee) Monthly",3d Animator,Senior ,Pakistan,6,Ice Animation,Male,Nope
30000 Rs per month,3D Animator,Junior,India,2,Technicolor,Male,
82000 CAD,3D animator,Mid,Vancouver,6,Sony pictures imageworks,Male,no
29900k £,3D Animator,Junior,Spain (working remote for UK studios),1,A Productions Ltd,Female,
46.70 €,3D Animator,Lead,Germany,5,,Male,No
45k CAD,3d animator,Junior,"Vancouver, BC",1 year,icon,Male,no
70k Pakistani pkr per month,3D Animator,Senior,"Karachi, Pakistan",06 years,Ice Animations,Male,No
25000.00,3D animator,Junior ,Bangalore ,1 year,Xentrix,Male,
30 000 euros / year,3d animator,Junior,Dublin,0,,Female,No
57000 GBP,3D Animator,Senior,UK,7,Dneg,Female,
3100 USD,3D Animator,Senior,Ukraine,4,,Male,
"32,000 INR per Month",3D animator,Mid,India,4,,Male,Nope
52000.00,3D Animator,Junior,UK remote ,1 year,,Male,
116€/day,3D animator,Junior,"Paris, France",1,Illumination Macguff,Male,No but thinking about
88k cnd,3d animator,Senior,Vancouver,6,,Female,No
31000 euros/year,3D animator,Junior,Dublin,2,Giant,Female,
35000€/year,3D Animator,Lead,Spain (Madrid),15,,Male,
1.300 euros per month ,3D animator,Junior,Madrid,2,El Ranchito Vfx,Male,No
75.000 cad,3d animator,Mid,Vancouver,12,Sony Imageworks,Female,I wish
"£46,500",3D animator,Senior,London,4,Mpc,Non Binary,No
39600 pounds,3d animator,Junior,Londo ,2,MPC,Male,No
30k RUB per month,3D animator,Junior,Russia,4,,Male,
140€ / day,3D animator,Junior,France,1,,Female,no
15000 South African Rands per month (before tax). No benefits,3D Animator,Junior /Mid,South Africa ,5,,Female,No
140€ / day before taxes,3D Animator,Junior,Montpellier France,4,,Female,no
"32,000£",3D animator,Junior,London,6 months,Framestore,Female,No
46k AUD,3D Animator,Junior,Australia,1,,Male,No
£735 GBP per week,3D Animator,Mid,UK,5,,Male,No
2100 euros / month,3D animator,mid/senior,france,+3 years,superprod,Male,
"£22,000",3D Animator,Junior,London,8 Months,,Female,No
2100 euros month,3D animator,mid-senior,France,3,Superprod,Male,
£55.00,3D Animator,Mid,London,5,,Female,No
"£45,000",3D Animator,Senior,"London,UK",15,,Female,no
2300€ / month ,3D animator,Junior,France ,1,,Female,
"£30,000",3D Animator,Mid-level,UK (not London or South-East),4,,Female,No
"£25,000",3D animator,Junior,London,Less than a year,Doodle Productions,Female,I dont think so
42000.00,3D Animator,Mid,Ireland,4,,Male,No
83k CAD,3D Animator,Mid,Montreal,6,Framestore,Female,No
"150€/day (around 2,300€/month)",3D animator,Mid,"Paris, France",5,Illumination MacGuff,Female,No
350€-400€/day,3D Animator,Senior,Paris,10,Freelance,Male,No
41k GBP,3D Animator,Senior,Manchester,5,,Male,No
RM3000,3D Animator,Junior,Malaysia,7 Months,,Male,
"28,800 MYR/annually ",3D Animator,My former studio didn't have a seniority system,Malaysia ,2.5 years ,M*nsta ,Female,No
2800 euro gross monthly,3d animator,junior,Germany,2,vfx  (dont wanna say more),Female,nope
$2500/week,3D Animator,Senior,USA,10,Freelance,Male,No
190€ a day,3D Animator,Mid-Senior,Paris,8,,Male,
26.000 euros,3d animator,Mid,Madrid,5,Skydance,Male,
50.000€ per year,3D Animator,Lead,"Madrid, Spain",13,Skydance Animation Madrid,Male,No
27000€ gross/year,3D Animator,Mid,Madrid,44656,Skydance Animation,Female,
25.000€/year,3D animator,Mid,Spain,44624,,Female,no :(
27.500 euro,3D Animator,Mid,Italy,4,Ubisoft,Female,
28.000€/year ,3D animator,Mid,"Madrid, Spain.",44656,Skydance Animation,Female,No
72 000 CAN,3D animator,Senior,Canada,8 years,,Female,No
75000CAD,3D Animator,Mid Level,Montreal,8,,Male,
24000 GBP/year,3D Animator,Junior,Ireland,2,,Female,No
44.000 € annually ,3D animator,Mid,Remote / Belgium,6,,Female,?
"£66,500",3D Animator,Senior,London,10,Framestore,Male,
"$66,300 CAD / Year",3D Animator,Lead,"Ontario, Canada",8,Jam Filled,Male,No
CAD 78.000 year,3D Animator,Senior,Toronto,8,,Female,
"£24,000",3d Animator,Mid,London,2,Blue zoo,Female,No
"$70,000 CAD/year",3D Animator,Intermediate,"Toronto, Canada",4,Uken Games,Male,No
62k p/year,3d Animator,Junior,Vancouver,3,Sony,Male,no
€2200/month (gross),3D Animator,Mid,Santa Cruz de Tenerife (Spain),Almost 4,InEfecto,Female,I don't guess so
£147 / Day,3D animator,mid?,UK,9,Aardman,Male,"not anymore, BECTU."
£30 000,3D Animator,Mid,London,3,Blue-zoo,Male,no
90k CAD,3D Animator,Senior,Montreal,6,DNEG,Female,No lol 
"£37,000",3D Animator,Mid,"Scotland, UK",1.5 years at this job,,Female,No
26.000€ year,3D animator,Junior,"Barcelona, Spain",2,,Male,No
26.000€ year,3D animator,Junior,"Barcelona, Spain",2,,Male,No
$49000 CAD/year,3D Animator,Junior,Montreal,2,,Male,No
50k before taxes,3D animator,Junior,Montréal,3 years,MPC,Female,no
74000.00,3D Animator,Junior,Montreal,3+,Dneg,Female,No
INR 4800000/- per annum,3D Animator,Senior,India,16 years,,Male,no
$1800SGD/mth,3D Animator,Junior,Singapore,1,Tiny Island,Male,
$40.87 per hour CAD,3D Animator,Senior,Montreal,13,Reel FX,Female,
80.000 CAD per year,3D animator,Senior,Montreal,5 years,,Male,No
"40,000 CAD",3D Animator,junior-mid,Montreal,2,MPC,Female,no
31000 €/year,3D Animator,Mid,Madrid,6,,Male,No
420 Euro's a day,3d Animator,Senior,Amsterdam,7,Freelance,Female,no
1.83£,3D Animator,Junior,London,0,,Female,no
"83,200 CAD",3D animator,Supervisor,Vancouver,8,Bardel,Female,No
85000 CAD,3D Animator,Mid,Montreal,8,Framestore,,
72000 CAD,3D animator,Junior/Mid,Vancouver,On and off 6 years,,Female,No
€26000 a year,3D animator,Junior,North Europe,"0,5",,Female,
75K CAD per year,3D Animator,Intermediate,Vancouver,3,,Female,No
65k CND,3D Animator,Senior,Vancouver,10,Atomic,Female,No
8.000.000 IDR/month or around $560.00 USD/month,3D Animator,Mid,Indonesia,2.5 years,,Male,"No, I dont think we had any here"
89k/yr CAD,3D Animator,Intermediate,Vancouver,9,Sony,Female,Sadly No
125k USD,3d Animator,Mid/Senior,Los Angeles,12,Disney Feature,Male,Yes IATSE 839
37000€ a year,3D animator,Junior,Belgium EU,5,,Female,Yes
$36USD/hr,3D Animator,Just plain old animator,California,8 years,SIE,Female,No
"£20,400",3D Animator,Junior,UK,0,,Male,
43000GBP,3D Animator,Lead,Glasgow,2,,Female,No
"135,000 USD",3D Animator,Senior,Los Angeles,11,,Female,No
"$105,600 USD",3D Animator,Intermediate,Los Angeles,4,,Male,No
"$3,225USD/week (gross)",3d Animator,senior,Los Angeles,15,Disney Feature,Female,"Yes, TAG 839"
"$145,000 USD",3D Animator,Lead,LA,9,Buck,Male,No
115K USD,3D Animator,Mid,LA,9,,Female,No
"$55,000 (CAD) ",3D Animator,Mid - Intermediate,Toronto,4+ years,,Male,No
NZD 71/h,3D Animator,Mid,Wellington,11,Weta Digital,Male,No
"£58,000",3d Animator,Senior,London,8,DNEG,Non Binary,No
28k/ year,3d animator,Mid,Spain,3 and 1/2,,Female,
$500 USD / day,3D Animator,Senior,Midwest USA (Remote),11,,Male,No
1500 CAD per week ,3D Animator,Mid,Vancouver,1,Bron ,Female,No
"£25,000",3D Animator,Junior,London,1,MPC,Female,No
"46,500 CAD",3D Animator,Junior,"Ontario, Canada",4,Jam Filled,Male,no
1300€/month,3D Animator,Junior,Valencia (Spain),4,,Female,No
"84,000£",3D Animator,Senior,London,8,,Female,no
70000.00,3D Animator,Lead,London,7,,Female,no
1800.00,3D animator,junior,Spain,3,,Male,
65000 CAD,3D animator,Mid,Montreal,13 years,Singing Frog Studio,Female,
2800 brut/2100 net euros monthly,3D Animator,Senior,Santa Cruz de Tenerife,7 years and 4 years of studies in 3D/VFX,InEfecto,Female,Nope
38.5 USD X hr,3D Animator,Animator,Remote,4,Videogame company,Female,no
"£72,500",3D Animator,Mid,London,15,,Male,No
94000.00,3D animator,Senior,Montreal,8,,Male,No
27000 eur,3D animator,Senior,Canary - Spain,8+,,Male,
26000k euros,3D Animator,Junior,"Paris, France",6,,Female,
47 500 CAD,3D Animator,Junior,Montreal,1.5 years,Gearbox,Female,
95k CAD,3D Animator,Mid,Vancouver,7,Animal Logic,Male,"no, I wish!"
$40K year CAD,3D Animator,Junior (artist),Montreal ,First industry job ,MPC,Female,Nope
$40/h,3D animator,Junior,Burbank,3,Halon,Male,No
"9500 shekel per month as full time employee in 2020, 1000 shekel per day as freelance in 2021",3D animator,Mid,Israel,44656,,Female,"Yes, the Israeli animation union"
26'000£,3D Animator,Junior,London,10,MPC,Female,No
"52,000 €",3D Animator,Lead,France,15,,Male,No
75K CAD,3D animator,Middle,Montreal,5,Dneg,Male,
"£31,200",3D Animator,Junior-mid,UK,3,A productions,Female,no
120€ per day without taxes,3D animator,Junior,"Angoulême, France",2,,Female,
"19,23$/h CAD",3D animator,Junior ( first job),Montreal ,3 months,MPC,Female,
17000 eg pound,3D Animator,mid,Egypt,2,,Male,no
42000 CAD,3D Animator,Junior,"Montreal, QC",2,,Male,
62400 AUD,3D Animator,Lead,Brisbane,3,Pixel Zoo,Female,No
48k CAD,3D animator,Junior,Montreal,2,,Male,No
"116,000 CAD",3D Animator,Lead,Vancouver,5,Sony Imageworks,Female,No
104k usd,3d animator,Senior,Los Angeles ,8,,Male,
80000.00,3D animator,Senior,Toronto / Remote,15,,Female,No
CAD $85000,3D Animator,Mid,Montreal,8,Framestore,Male,No
65000 CAD,3D Animator,Mid,Montreal ,3,,Female,No
89300.00,3D Animator,Junior,Los Angeles,2,,Female,Animation Guild
300000 INR,3D Animator,Junior,India,2,Xentrix Studios,Female,
"$140,000 USD",3D animator,Senior,"Irvine, CA",6,,Male,No
70k CAD,3d animator,Senior,Vancouver,5,Icon,Female,No
75k CAD,3d animator,Senior,Vancouver ,6,Mainframe,Female,No
"$67,600 CAD",3D Animator,Intermediate/Senior,"Toronto, Ontario, Canada",6,,Non Binary,
540 USD at month,3D animator,Junior,Mexico,1,Mighty Animation,Male,No
58000 cad year,3D animator,mid,"vancouver, bc",4,Atomic cartoons,Male,no
35000 inr,3d animator,Junior,"India, banglore ",3 years ,Studio 56,Male,No
IDR 1500k-2500k,3D Animator,Junior,Indonesia,2,Freelance,Male,
37.000 EUR/annual gross salary,3D Animator,Junior,Germany,0,,Male,
247 USD / month,3D animator,Junior,Bali,1,Brown Bags,Male,No Idea
"55,000 CAD",3D Animator,Mid,Vanouver,1,,Female,No
2300 euro,3D Animator,Senior,Belgium,9,,Male,No
4k PLN/month,3d Animator,Junior/feels more like Mid,"Cracow, Poland",3,,Female,nope
150€ brut,3D Animator,Mid,Paris,5,,Female,
€44200/y (€170/day),3D Animator,Mid,Paris,4,Illumination,Male,
34000.00,3D Animator,Lead,Russia,7,??? outsource company,Male,no
40k CAD (1.5x overtime) ,3D Animator,Entry level,"Montreal,  Canada",1,MPC Film,Female,No
90000 CAD,3d Animator,Senior,Montreal Canada,10,,Male,No
65 CAD/HR,3D Animator,Senior,Vancouver,14,,Male,No
3800 €/ month (gross),3D Animator,Mid,Germany,5,Pixomondo,Male,No
"£35,000",3D Animator,Lead,"London, UK",4,,Male,No
45 700 €/year ; 180 €/day,3D animator,mid/senior,Paris,7,Illumination,Male,No
IDR 12000000/month,3D Animator,Senior,Jakarta,10+,Anantarupa Studios,Other,No
1200/Month,3d animator,Junior,"Kyiv, Ukraine",2,Kevuru games,Other,No
14400 usd,3d animator,Junior,"Kyiv, Ukraine",1,Kevuru games,Non Binary,No
"IDR 2,750,000/month",3D Animator,No rank,"Jakarta, Indonesia",7,Castle Production,Other,No
"IDR 4,800,000 /month",3D Animator,Mid,"Batam, Indonesia",> 10,Infinite Frameworks,Other,no
"£70,000",3D Animator,Senior,London,11,DNEG,Male,No
4000 BRL/month,3D animator,Mid,Brazil,4,,Female,
"$61.92/hr, $152k/yr USD",3d Animator,Jounreyman,Los Angeles,15,Dreamworks Feature,Male,"yes, TAG"
$70/hr,3D animator,mid-level,San Francisco,15,,Female,No
$56.94/hour (USD),3D Animator,Just an animator.,"Burbank, California",14,Disney Feature,Male,IATSE Local 839 (TAG)
600 usd,3D animator,Junior,"Buenos Aires, Argentina",3,Mighty animation,Female,
75 000 CAD/year,3D Animator,Mid,Vancouver,3,Wildbrain,Female,no
"14,000 MXN",3D Animator,Junior,Mexico,5 years,Mighty Animation,Female,No
$63/hr,3D Animator,Senior,Los Angeles,17,DWA Feature,Male,TAG 839
"$67/hr ($3182/wk) ($165,000/yr) 45 hours a week",3D Animator,Unspecificed,Burbank CA,"20 in industry, over 10 at WDAS",Disney Feature,Male,IATSE TAG 839
"1,500 USD per month",3D Animator,Senior,Mexico City,10,Metacube,Male,no
"US$200,000 average per year",3D animator,n/a,Burbank,20+,WDAS,Male,YES! The Animation Guild 839
"$71,000 CAD a year, Salary.",3D Animator,Senior,Vancouver,44687,ICON Creative Studio,Male,No.
100000 CAD ,3D Animator,Lead,Vancouver,6,ICON,Male,no
18CAD/hr,3D Animator,Junior,Toronto,7 month,,Female,No
$750/day US,3D Animator,Senior,LA,10,,Male,No
IDR 8.000.000,3D Animator,junior/mid,"jakarta,indonesia",3,*game developer,Male,no
"£32,000",3D animator,Senior,London,3,,Female,
110€/day before taxes,3D Animator,Junior,France,1,Superprod,,Nope
"£27,000",3d animator,Mid,Uk - rugby,4,Blue zoo,Female,No
"£32,000",3D Animator,Junior,"London, UK",1,,Female,No:(
$58.000 CAD,3D Animator,Junior,Canada,5,SPI,Other,No.
$81.000 CAD,3D Animator,Senior,Vancouver,7+,Icon,Other,No
"Rp 4.200.000,00 (WFH allowance + Rp 400.000,00)",3D Animator,Mid,Bali (Denpasar),1,,Female,
120000 usd,3d animator,senior,los angeles,10,,Male,yes
"$34,000.00 CA/ yearly",3D animator,Mid,Vancouver,5,Wildbrain,Female,No
$1150ca weekly ,3d animator,mid,Vancouver,5,,Female,no
"70,000 CAD/year ",3D animator,mid,montreal,7,DNEG,Female,no
"Rp.4.000.000/ 279,01 USD per month",3D Animator,MID,"East Java, Indonesia",1,H,Male,
R25000 / $1655 per month,3D animator,mid,South Africa,5,,Non Binary,No
88k USD,3d Animator,Senior,TX,12,,Male,no
€ 32400 gross yearly,3D Animator,Junior,Germany,0,,Male,
110e brut/jour,3D animator,junior,arcueil,1,supamonks,Male,
$40/hour,3D Animator,Junior,United States - East coast,3,,Female,
40000$ A year,3D Animator,Senior,Indonesia,10,Freelancer,Female,Indonesia
"£22,000",3D Animator,Junior,U.K,2,,Female,No
"78,000/year",3D Animator,Senior,Oakland,7,,Female,
"74,100 CAD",3D Animator,Jr/Mid,Vancouver,5,,Female,No
"60,000 CAD",3D Animator,Junior,Freelance for Vancouver,0,A company that does game cinematics,Male,No
75000 CAD,3D animator,mid,Montreal,6,,Male,
$83200 USD,3D Animator,Mid,United States (San Francisco),1,,Female,No
105K,3D Animator,Senior Animator,Vancouver,9,,Male,
"9,000.00 MXN",3D animator,Mid,Mexico,5,Mighty Animation,Male,No
4.800.000 yen (yearly net income),3D animator,senior,"Tokyo, Japan",15+,Large game company,Male,no
18000 THB=560 USD,3D Animator,intern,Thailand,none,Teapot Studio,Male,
IDR 7200000/mo,3D animator,middle,Indonesia,5 yrs,SSE,Male,
50k annually CAD,3D Animator,Junior,Canada,2 years,,Male,No
26000.00,3D Animator,Junior,India,1,MPC ,Male,No
30000 €/year,3D Animator,Mid,Madrid,8,Skydance Animation Madrid,Male,No
"£57,000",3D Animator,Mid/Senior,London,10,,Male,no
55000 CAD,3D Animator,Junior,"Vancouver, Canada",0.5 years,ICON,Female,No
65000 USD/year,3D Animator,Mid (but company doesn't recognize titles),"Novato, CA",9,Visual Concepts,Non Binary,No
"87,000 CAD",3D Animator,Lead,Vancouver,5,ICON,Male,
"130€/ day (27,000€/year - before tax)",3d Animator,Junior ,"Paris, France",1.5 years,Illumination mac guff,Male,No
300k INR,3D Animator,Lead,India,16,,Male,No
80000 cad,3d animator ,Mid,Montreal ,5,,Female,
70k CAD,3D animator ,Mid ,Montreal ,3,Technicolor ,Male,No
"40,000 pounds ",3D Animator ,Mid ,UK,3,MPC,Male,No
71.000 CAD,3D Animator ,Key Artist (mid i guess),Montreal,4,MrX,Female,-
90k CAD/ year ,3D Animator ,Senior ,Montreal ,8 years ,MPC FILM,Female,No
40grand /1yr / CAD ,3D animator ,Junior ,Vancouver B.C ,2,,Female,Nope
75k/year USD,3D Animator ,Mid,"Los Angeles, CA",2,Small creative agency :) <10 employees ,Female,
"60,000 CAD",3D Animator ,Junior,"Toronto, Ontario, Canada",9 months,,Male,No
$2988 USD/Week (Gross),3D Animator ,6+ Years,"Burbank, CA",11,WDAS,Male,"Yes, TAG Local 839"
"52,000/year AUD",3D animator ,Junior,Australia ,1,,Female,
"$60,000 AUD ",3D Animator ,Jr/mid,Australia ,2,,Female,
95000 CAD,3D animator ,Middle/Senior ,Montréal ,5,Dneg,Male,
"50,000 INR",3D animator ,Mid level ,Mumbai India ,6+,,Male,No
46928$ CAD,3D Animator ,Mid,Toronto,2,,Male,
420000?,3d animator ,Junior,India,5,Technicolor ,Male,No
42$ per hour ,3D animator ,Mid level ,"Los Angeles, CA",4,Halon,Female, No
30 000 pound sterling ,3D animator ,Junior ,London ,"1,3 years ",MPC FILM,Male,
"£26,000",3D Animator ,Junior ,"London, UK",1,MPC,Female,
145€/day,3D animator ,Junior+/Mid,"Paris, France",3.5 years ,Illumination mac guff ,Female,Not sure? 
$7200 a year ,3d animator ,mid,"Lima,Peru",5,,Male,no
"£24,000",3D animator ,Mid ,"North east, UK",3,Double Eleven Ltd,Male,
"50,000 CAD",3D Animator ,Junior,Montreal ,0-1,,Female,No
35000 £/year,3D animator ,Junior ,London ,3,Mpc ,Male,No
50000.00,3D Animator ,Mid level,Los Angeles ,5,,Female,No
25$ an hour (CAD),3d animator ,Junior ,"Montreal, Canada ",5,TV animation studio,Male,No
"$55,000 CAD",3D Animator ,Mid ,"Montreal, Canada",4,,Male,No
80 000 CAD,3D animator ,Senior ,Montreal ,3,DNEG ,Female,No
500$ / month ,3d animator ,Mid ,Egypt ,4,,Female,
67000 cad ,3D Animator ,Intermediate ,"Vancouver, Canada",4,,Female,
1200 per wk,3D Animator ,Senior,"Halifax, NS. Canada ",11,,Female,No
60000.00,3d animator ,Mid,Vancouver,6,,Female,No
2800€ per month ,3D animator ,Mid level ,Finland ,4,,Female,No
"45,000 CAD",3D animator ,Intermediate,"Sudbury, ON",3,,Male,
143k.  CAD,3D animator ,Lead,Montreal ,15,,Male,No
£150 a day ,3D Animator ,Mid ,London ,3,Wild Chid,Male,No 
2200 € / month ,3d animator  ,Junior ,Paris ,6 month ,The mill ,Female,
"86,000 annual USD",3D Animator (Games),Mid,San Francisco,7,,Male,No
"$70,200 CAD",3D Animator (TV),Senior,"Vancouver, B.C. Canada",6,Wild Brain,Male,No
"$62,400 (CAD)",3D Animator (TV),Senior,"Ontario, Canada",5,,Male,
100000 CAD,3D Animator & Freelancer,Mid,Toronto,3,,Female,No
800 monthly,3D animator and layout,Junior,Argentina,1,,Male,Nope
R19 000 p/m (about 1250 USD),3D animator and layout artist,Mid,South Africa,3,,Female,No
USD 470 per month,3D Animator and Rigger remote,Mid?,Indonesia,12?,Local Game Studio?,Male,"Nope, because it doesn't any help at here"
20$CAD /Hour,3D animator for TV show,Junior,Montreal Canada,6 months,,Female,No
5200 Euro/Month (bruto),3d Animator freelance,senior,Spain,8,,Male,no
1400 USD per month ,"3d animator, 2d animator, mentor, help with integration ",Middle,Russia,2,,Female,No
46.8k CAD yearly ,"3D Animator, TV",Junior ,Toronto,"before this job, zero",Elliott Animation,Female,nope
R$1250 (U$238),3D animator/2D animator ,Junior,Brazil,1,,Female,
"$60,000 AUD",3D Animator/CAD Visualiser,Junior/Mid-level,Remote,2+,,Female,No
1275 usd per Annum,3D Animator/Game Developer,Junior,"Tamil Nadu, India",1,,Male,No
$37.50 USD/hour - $78k USD/yearly,3D Animator/Previs Artist,Mid,Los Angeles,less than 1 year,Halon Entertainment,Female,No
50 000 CAD,3D Artist,Junior,"Vancouver, Canada",Less than 1,,Female,No
1315000 INR / Year,3D Artist,Senior,India,5,Amazon,Male,No
1150 euros,3D artist,Junior,Barcelona,None - my first job,,Male,
30000€ annually,3D Artist,Junior,Germany,1,,Female,
20$/h,3D Artist,Middle ,Ukraine,3,,Male,
